trait; Rate1; Rate2; LogL; Lik.Root; First.Evol; Med.Evol; N.evol; N.origins; Origins; Dates.Origins
K00001; -0.004278258829768; -0.00562759225776176; -2289.32081528312; 0.999; 2743.244779; 4280.5075245; 562; 4; 3941, 4020, 7558, 7560; 3065.384304, 2743.244779, 4015.591685, 3728.445634
K00002; -0.000126262068107223; -0.00275983734346198; -353.242073742663; 0.99899974801858; 2743.244779; 4158.926458; 143; 3; 3942, 4016, 4020; 3306.421142, 3975.52317, 2743.244779
K00003; -0.000698857062735767; -0.000338199033106301; -817.647784441273; 0.998859309563943; 2449.429427; 4221.7016215; 90; 2; 3941, 4019; 3065.384304, 2449.429427
K00004; -0.00163107363133793; -0.0118190193695106; -1407.28941454921; 0.999; 2449.429427; 4253.779257; 502; 2; 3941, 4019; 3065.384304, 2449.429427
K00005; -0.000541020762976238; -0.00312413989358109; -1030.7685860591; 0.998999983895549; 2449.429427; 4227.468393; 222; 4; 3945, 4012, 4014, 4019; 3481.716761, 4190.360998, 3870.326616, 2449.429427
K00007; -4.18100467133098e-05; -0.00659041468414496; -270.300481168575; 0.998999999996803; 2449.429427; 4184.227076; 276; 2; 3941, 4019; 3065.384304, 2449.429427
K00008; -0.00176653684798517; -0.00645211717472556; -1758.10465368826; 0.999; 2449.429427; 4259.131192; 421; 2; 3941, 4019; 3065.384304, 2449.429427
K00009; -0.000121762428376721; -0.00324476607313923; -520.070564793171; 0.998999819607691; 2743.244779; 4141.7809155; 166; 6; 3945, 4010, 4015, 4016, 4020, 7562; 3481.716761, 3424.599876, 4134.091712, 3975.52317, 2743.244779, 4090.780966
K00010; -0.000861341130075654; -0.00446886385582512; -1439.77931781573; 0.998999999991615; 2449.429427; 4243.9581505; 290; 3; 3942, 4016, 4019; 3306.421142, 3975.52317, 2449.429427
K00011; -5.92800650150368e-05; -0.00765372719003512; -114.760286715713; 0.998999999999999; 2449.429427; 4210.341527; 333; 2; 3941, 4019; 3065.384304, 2449.429427
K00012; -0.00358583120585322; -0.000776628711866111; -1312.09843865642; 0.999000001429164; 2797.106088; 4276.695889; 323; 6; 3941, 4022, 7518, 7559, 7561, 7563; 3065.384304, 2797.106088, 3536.312507, 4388.360577, 4396.460669, 4171.497941
K00013; -0.00240673076200808; -0.000350283186587158; -755.499087545421; 0.999000052967697; 2743.244779; 4237.2866055; 218; 5; 3945, 4010, 4014, 4020, 7557; 3481.716761, 3424.599876, 3870.326616, 2743.244779, 3137.347316
K00014; -0.00131854942736408; -0.000248050812256597; -642.466712572453; 0.999001409203478; 2449.429427; 4269.38719; 106; 3; 3943, 4016, 4019; 3335.837017, 3975.52317, 2449.429427
K00015; -0.000478229817191804; -0.00156320019019929; -1028.79467107614; 0.998998591185622; 2743.244779; 4241.836408; 157; 2; 3941, 4020; 3065.384304, 2743.244779
K00016; -0.000801135834447847; -0.00198889118923943; -1353.46186783529; 0.998999818969671; 2449.429427; 4251.2883705; 226; 2; 3941, 4019; 3065.384304, 2449.429427
K00018; -0.000495763293231892; -0.00181683745370006; -1083.88766912057; 0.998999468341874; 2743.244779; 4241.352135; 163; 3; 3941, 4020, 7558; 3065.384304, 2743.244779, 4015.591685
K00019; -0.000452929296230532; -0.00216140500464194; -1363.15628827624; 0.99899925786061; 2449.429427; 4220.495637; 174; 2; 3941, 4019; 3065.384304, 2449.429427
K00020; -0.00116109484137326; -0.00172793003062823; -1708.19904712331; 0.998999890189113; 2743.244779; 4279.171292; 251; 8; 3964, 3968, 3985, 4012, 4016, 4020, 7558, 7560; 4250.667459, 4159.353739, 4230.436632, 4190.360998, 3975.52317, 2743.244779, 4015.591685, 3728.445634
K00021; -0.000247082141379886; -0.00159035521622539; -627.9227186853; 0.99898490857848; 3065.384304; 4206.9187235; 124; 28; 3941, 4030, 5589, 5642, 5679, 5748, 5839, 5842, 5851, 5939, 5941, 5985, 6018, 6065, 6151, 6155, 6227, 6245, 6771, 6779, 6846, 7471, 7483, 7484, 7500, 7502, 7518, 7558; 3065.384304, 3276.13089, 3725.283308, 4084.941576, 3841.083805, 4245.207131, 4302.553532, 4289.352512, 4304.021584, 4241.517371, 3816.110662, 3730.273525, 3855.002113, 4232.397237, 3702.792981, 3691.813537, 3367.588414, 3339.11787, 3426.559587, 3074.062284, 3619.978019, 3991.074787, 3526.197867, 3215.785082, 3768.690376, 3610.252111, 3536.312507, 4015.591685
K00023; -0.000251765278507781; -0.00120389881236642; -818.43709545393; 0.999032283593323; 2449.429427; 4264.086316; 102; 4; 3986, 4010, 4017, 4019; 3765.269066, 3424.599876, 4108.113661, 2449.429427
K00024; -0.000639781570144859; -0.000441851554169619; -978.519865335668; 0.998854269923979; 2449.429427; 4292.7707315; 88; 2; 3941, 4019; 3065.384304, 2449.429427
K00027; -0.000463938421535692; -0.000690762756122791; -974.940901850639; 0.998923298498205; 2449.429427; 4259.6484115; 104; 2; 3942, 4019; 3306.421142, 2449.429427
K00029; -6.72017368392059e-05; -0.00044019699216659; -582.936480263018; 0.999443348916693; 2960.419703; 4232.906677; 30; 8; 3944, 4016, 4024, 7479, 7491, 7502, 7520, 7557; 3413.096445, 3975.52317, 2960.419703, 3290.274617, 3711.219552, 3610.252111, 4053.398212, 3137.347316
K00030; -0.000166358849048511; -0.00122582868877077; -502.410777280307; 0.998869465150099; 2449.429427; 4180.412725; 85; 2; 3941, 4019; 3065.384304, 2449.429427
K00031; -0.000754929189899677; -0.000315368808771347; -765.952044930642; 0.999032652239611; 2449.429427; 4216.3003915; 90; 2; 3945, 4019; 3481.716761, 2449.429427
K00032; -4.03676363248309e-05; -0.00919331280417961; -168.393804564147; 0.999; 2766.855443; 4209.018214; 391; 3; 3941, 4021, 7557; 3065.384304, 2766.855443, 3137.347316
K00033; -0.00149767879493628; -0.000918954404555181; -1404.42877526856; 0.999002265045764; 2960.419703; 4238.021077; 245; 7; 3946, 4024, 7477, 7512, 7519, 7549, 7560; 3586.646752, 2960.419703, 2985.507326, 3845.156671, 3981.788711, 4284.260678, 3728.445634
K00034; -0.00161995366181226; -0.0077959683441394; -1628.74343249296; 0.999; 2743.244779; 4245.771165; 470; 6; 3943, 4014, 4016, 4020, 7558, 7562; 3335.837017, 3870.326616, 3975.52317, 2743.244779, 4015.591685, 4090.780966
K00035; -5.272975572646e-05; -0.00538467165521304; -515.33860875211; 0.998999999908205; 2449.429427; 4172.7859995; 230; 2; 3941, 4019; 3065.384304, 2449.429427
K00036; -0.000791639264585226; -0.000943960060048614; -1199.30755099734; 0.998999722108109; 2743.244779; 4230.597289; 166; 2; 4020, 7557; 2743.244779, 3137.347316
K00038; -0.000473429513761189; -0.0075446080168833; -1084.42829280305; 0.999; 2449.429427; 4225.590219; 359; 2; 3942, 4019; 3306.421142, 2449.429427
K00039; -0.00020887723394623; -0.0102719647289789; -549.928648449982; 0.999; 2449.429427; 4230.7346705; 400; 2; 3941, 4019; 3065.384304, 2449.429427
K00040; -0.000679240502527887; -0.00485665953645521; -1359.30517221542; 0.998999999987225; 2743.244779; 4227.217893; 307; 3; 3942, 4020, 7560; 3306.421142, 2743.244779, 3728.445634
K00041; -0.000584169529641475; -0.00320559324476056; -1112.33344681471; 0.998999997675137; 2449.429427; 4254.2695585; 270; 3; 3943, 4016, 4019; 3335.837017, 3975.52317, 2449.429427
K00042; -0.000911260848161312; -0.00377107469612939; -1482.71713630818; 0.998999999840879; 2766.855443; 4233.7278885; 296; 5; 3944, 4015, 4016, 4021, 7557; 3413.096445, 4134.091712, 3975.52317, 2766.855443, 3137.347316
K00043; -3.63586062596858e-05; -0.00688542528988801; -134.445719872665; 0.998999999999739; 2766.855443; 4200.325001; 289; 5; 3941, 4021, 7550, 7558, 7564; 3065.384304, 2766.855443, 4217.761546, 4015.591685, 4303.019154
K00045; -0.000367449755344357; -0.00548834766250792; -1035.87098965787; 0.998999999995612; 2449.429427; 4213.780607; 291; 2; 3941, 4019; 3065.384304, 2449.429427
K00048; -0.000128097428117887; -0.00385527449989813; -392.568976064419; 0.998999976764423; 2449.429427; 4172.761634; 187; 2; 3941, 4019; 3065.384304, 2449.429427
K00050; -0.000268142360434661; -0.0010884103699905; -814.147040163178; 0.998903575257328; 2449.429427; 4279.138057; 98; 2; 3943, 4019; 3335.837017, 2449.429427
K00052; -0.00265898801287562; -0.000343593699810298; -885.880213092451; 0.999000581060574; 3041.17625; 4245.310512; 245; 56; 3942, 4030, 5579, 5587, 5609, 5653, 5655, 5660, 5661, 5718, 5725, 5736, 5744, 5753, 5758, 5825, 5858, 5865, 5871, 5877, 5879, 5890, 5909, 5914, 5935, 5938, 5939, 5941, 5987, 6001, 6002, 6007, 6013, 6032, 6036, 6078, 6152, 6154, 6228, 6243, 6246, 6260, 6263, 6271, 6332, 6770, 6780, 6805, 6845, 7478, 7492, 7512, 7518, 7550, 7558, 7560; 3306.421142, 3276.13089, 4202.864185, 3691.440352, 3648.114117, 4215.679313, 4395.328604, 4312.740824, 4210.119916, 4122.062634, 4073.940896, 4213.780607, 4142.640165, 4200.731365, 4148.024018, 4239.968879, 4334.611288, 4310.578779, 4329.554874, 4398.811591, 4305.635703, 4269.402127, 4145.055674, 4123.777903, 4233.933347, 4328.834798, 4241.517371, 3816.110662, 4294.005682, 4323.574405, 4304.511525, 4399.24545, 4285.930943, 4303.964102, 3878.196514, 3851.229923, 3892.67777, 3413.501653, 3810.158707, 3903.409476, 3887.303376, 4346.782814, 3944.945409, 3628.744424, 3633.215675, 3111.175273, 3235.974374, 3170.87276, 3490.270431, 3041.17625, 3076.40482, 3845.156671, 3536.312507, 4217.761546, 4015.591685, 3728.445634
