Trait	Anc	Des	Len	S.Anc	S.Des	R.Dist
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2473	2474	938.933978	Off	On	938.933978
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2493	2494	20.798368	Off	On	3451.260816
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2493	2501	428.830496	Off	On	3859.292944
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2513	2514	183.371675	Off	On	3672.368832
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2513	2516	161.167547	Off	On	3650.164704
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2548	2587	55.172121	Off	On	3824.300166
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2659	2660	39.331042	Off	On	3156.287701
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2851	2852	14.332237	Off	On	4028.619173
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2868	2870	9.566488	Off	On	3961.849288
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2877	2878	1.192181	Off	On	4033.497715
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2892	2893	213.240973	Off	On	3706.597516
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2944	2945	87.688395	Off	On	3468.338043
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2981	2982	223.347299	Off	On	3521.591934
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2984	2988	193.867278	Off	On	3364.998656
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2989	2990	153.239386	Off	On	4065.084248
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3064	3065	237.143298	Off	On	3109.517761
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3066	3068	194.358293	Off	On	3542.898433
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3114	3115	145.591019	Off	On	3484.352634
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3123	3127	70.718969	Off	On	3722.30713
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3135	3136	39.697099	Off	On	3200.035099
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3138	3139	39.690667	Off	On	3369.240318
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3142	3143	116.412521	Off	On	3810.805448
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3173	3211	144.294429	Off	On	3622.470991
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3218	3220	92.954554	Off	On	3518.623326
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3222	3223	36.348149	Off	On	3696.425258
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3257	3258	111.084031	Off	On	3382.762193
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3257	3261	190.73745	Off	On	3462.415612
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3272	3273	181.839331	Off	On	3576.616833
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3288	3295	117.190379	Off	On	3655.485098
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3306	3307	422.908049	Off	On	2840.648042
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3312	3313	166.256655	Off	On	3653.760578
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3314	3315	546.801435	Off	On	3098.341528
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3316	3340	134.167002	Off	On	3620.170794
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3347	3348	523.284371	Off	On	3193.974954
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3354	3355	702.348057	Off	On	3308.627419
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3371	3372	743.503713	Off	On	3617.317535
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3371	3374	68.726368	Off	On	2942.54019
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3375	3376	388.258587	Off	On	3526.845904
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3375	3382	95.120019	Off	On	3233.707336
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3392	3396	83.451633	Off	On	3789.740334
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3412	3413	83.49306	Off	On	3241.540017
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3414	3415	135.554175	Off	On	3567.859961
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3434	3435	158.272259	Off	On	3863.916844
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3427	3449	214.18538	Off	On	3568.554368
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3489	3490	255.906573	Off	On	3422.207429
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3499	3502	397.97078	Off	On	2923.0199
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3520	3522	159.173728	Off	On	3556.2989
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3529	3530	524.672865	Off	On	3452.652155
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3529	3535	168.37443	Off	On	3096.35372
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3542	3543	450.496045	Off	On	3142.765404
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3547	3548	193.970808	Off	On	3499.537011
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3542	3557	222.010741	Off	On	2914.2801
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3608	3609	175.346874	Off	On	3555.590031
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3634	3635	71.083441	Off	On	3848.7079
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3632	3652	55.370455	Off	On	3708.232847
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3541	3671	18.954986	Off	On	2471.440581
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3688	3689	207.222013	Off	On	3571.840899
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3688	3691	252.490864	Off	On	3617.10975
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3713	3714	81.115076	Off	On	3791.573274
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3717	3718	38.342262	Off	On	2819.506539
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3733	3736	121.850522	Off	On	3374.996779
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3757	3762	47.855385	Off	On	3834.822
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3717	3769	336.597066	Off	On	3117.761343
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3836	3838	77.801324	Off	On	3897.338069
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3872	3888	171.455822	Off	On	3753.581999
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	3955	3957	254.5379	Off	On	3812.438286
