trait	subtree	node	distance	cluster_size
1	1	3940	4399.9999992	3939
2	28	3967	45.421524	2
2	53	3992	191.088342	2
2	60	3999	20.892828	3
2	67	4006	99.939464	3
2	291	4230	86.402787	2
2	965	4904	41.394042	2
2	1456	5395	31.8221612	4
2	1578	5517	15.3622648	4
2	1628	5567	85.922301	3
2	2231	6170	153.465312	2
2	2337	6276	81.730053	2
2	2354	6293	65.234681	2
2	2366	6305	630.5934914	27
2	2438	6377	0.631659	2
2	2599	6538	2.109256	2
2	2613	6552	299.3264848	39
2	2676	6615	1.985384	2
2	2708	6647	22.040972	2
2	2711	6650	2.659017	2
3	2	3941	1334.6156958	79
3	89	4028	1330.496565	2407
3	2316	6255	579.4514446	16
3	2335	6274	261.2047	2
3	2337	6276	81.730053	2
3	2363	6302	526.123646	4
3	2388	6327	79.109901	3
3	2391	6330	80.756425	2
3	2392	6331	440.497266	2
3	2395	6334	460.8374128	45
3	2442	6381	425.785131	4
3	2446	6385	50.155566	3
3	2535	6474	1.780925	2
3	2571	6510	51.625725	9
3	2582	6521	52.33067	3
3	2586	6525	31.3151622	3
3	2609	6548	45.317671	2
3	2633	6572	143.4048462	13
3	2646	6585	83.64311	6
3	2732	6671	221.385573	4
3	2764	6703	50.592876	2
3	2798	6737	609.556934	34
3	2834	6773	1.628541	2
3	2835	6774	685.168455	4
3	2838	6777	659.133936	3
3	2842	6781	819.9204862	4
3	2846	6785	12.36869	3
3	2851	6790	484.719347	3
3	2867	6806	239.4008336	21
3	2889	6828	782.6920368	17
3	2905	6844	1111.8279786	752
3	3538	7477	1414.4926738	36
3	3573	7512	554.8433288	7
3	3579	7518	863.6874928	33
3	3611	7550	182.2384534	13
3	3618	7557	1262.652684	9
4	22	3961	220.4286266	5
4	36	3975	119.855057	6
4	43	3982	238.641914	3
4	100	4039	481.6297848	300
4	384	4323	136.642839	3
4	465	4404	127.833613	6
4	500	4439	396.026298	25
4	532	4471	536.63155	3
4	543	4482	158.6478642	3
4	648	4587	289.2403182	120
4	793	4732	93.44888	3
4	797	4736	260.768201	8
4	977	4916	881.5932862	658
4	1567	5506	215.833559	6
4	1585	5524	45.160528	2
4	1591	5530	178.625792	2
4	1604	5543	137.351042	3
4	1609	5548	506.5435606	22
4	1639	5578	449.029384	9
4	1652	5591	552.118104	2
4	1659	5598	435.9089964	6
4	1684	5623	65.511299	3
4	1703	5642	315.0584228	6
4	1712	5651	558.3367648	6
4	1783	5722	685.4217976	292
4	2062	6001	76.425596	2
4	2076	6015	54.170744	3
4	2079	6018	544.9978856	19
4	2102	6041	334.3429744	4
4	2127	6066	208.1197344	4
4	2146	6085	264.915266	10
4	2200	6139	1.852192	3
4	2213	6152	507.32223	3
4	2361	6300	235.3990084	3
4	2408	6347	102.948377	3
4	2551	6490	121.6295592	3
4	2603	6542	30.818973	2
4	2606	6545	241.073541	7
4	2616	6555	75.15003	3
4	2680	6619	64.296465	2
4	2717	6656	148.63888	5
4	2733	6672	94.845198	3
4	2856	6795	235.00807	3
4	2925	6864	50.244133	4
4	2938	6877	30.654693	3
4	2950	6889	19.236235	3
4	2954	6893	52.128327	2
4	2975	6914	151.145045	3
