trait	subtree	node	distance	cluster_size
1	1088	597	54.7003285	4
1	1137	624	515.60642625	4
1	1319	3072	19.2610674166667	12
1	1332	3078	180.697492956522	23
1	1354	738	8.73520483333333	12
1	1425	3120	90.9846586666667	27
1	1451	3133	7.616117	3
1	1484	805	154.703393	2
1	1549	849	115.6789295	4
1	1583	864	67.677038	2
1	1606	877	39.383766	4
1	1632	892	12.4089713333333	6
1	1706	930	94.394037	3
1	1709	932	36.826161	5
1	1847	3319	8.245526375	8
2	1	Root	4071.19645818325	2472
3	1514	824	220.443175159574	94
3	1574	3186	184.626096375	8
3	1597	873	128.523770705882	17
4	743	402	264.152054666667	3
4	1664	3230	129.740201	2
4	1666	3231	83.3857113333333	3
4	1741	3267	6.539949	2
5	165	68	631.16868924	25
5	187	81	954.239801193705	413
5	509	2718	772.951825	4
5	512	265	900.065081	9
5	547	286	446.211228	4
5	589	312	378.999933	3
5	709	386	314.577875870968	31
5	739	399	448.725468	3
5	742	401	497.1772245	4
5	768	419	181.149942	7
5	779	425	1371.26050308333	48
5	828	457	1023.54923185714	7
5	911	501	595.85721336	25
5	1015	2930	846.308486	2
5	1017	558	904.895602	3
5	1135	2984	499.124568	2
5	1147	629	4.007117	2
5	1484	805	154.703393	2
5	1592	3195	330.617001	4
5	1650	3221	47.280202	2
5	1824	3307	130.16961975	4
5	1890	1025	166.984472	2
5	1892	3338	80.105396	3
5	1902	3340	236.177231	5
5	1927	1048	2168.1071840885	113
6	26	2496	114.2197625	4
6	39	2503	7.591394	2
6	50	15	88.607323	4
6	116	48	140.008129	2
6	132	2550	396.418000241379	58
6	201	91	449.775756472222	216
6	425	2691	299.6646148	30
6	472	242	690.5468123	10
6	505	261	12.760815	5
6	668	361	566.774979526316	57
6	729	393	87.560292	2
6	755	412	75.651528	7
6	763	417	21.564648	3
6	768	419	181.149942	7
6	821	452	8.980412	2
6	877	2867	424.7372468	5
6	1063	583	974.8427374	5
6	1101	2969	4.02781	3
6	1117	2976	5.06332	2
6	1121	2978	3.43603	2
6	1222	3026	6.188013	2
6	1310	715	330.359620666667	3
6	1316	717	333.930282266667	15
6	1344	733	16.8507113333333	3
6	1350	736	24.74796	2
6	1351	737	10.254911	4
6	1364	3095	251.659711818182	11
6	1387	3105	46.970908	3
6	1390	756	13.831854	4
6	1401	761	92.8544547708333	48
6	1429	780	28.831436	3
6	1431	3123	53.7193725714286	21
6	1451	3133	7.616117	3
6	1477	3149	8.537322	5
6	1481	803	33.034882	2
6	1483	3151	513.296072144578	83
6	1537	843	4.822651	3
6	1552	3173	151.787715368421	19
6	1590	3194	7.160288	2
6	1597	873	128.523770705882	17
6	1641	897	666.151137	2
6	1664	3230	129.740201	2
6	1694	3244	18.37215875	4
6	1698	925	111.364357333333	3
6	1732	3262	425.248508	2
6	1733	3263	579.514365284768	151
6	1897	1031	15.829403	2
7	1	Root	4071.19645818325	2472
8	26	2496	114.2197625	4
8	39	2503	7.591394	2
8	51	2508	66.79784	3
8	82	30	57.6396903333333	3
8	116	48	140.008129	2
8	132	2550	396.418000241379	58
8	166	2570	136.937809208333	24
8	201	91	449.775756472222	216
8	353	2641	123.588962	2
8	397	2663	40.327793	2
8	425	2691	299.6646148	30
8	472	242	690.5468123	10
8	505	261	12.760815	5
8	513	266	168.05409	4
8	555	293	124.191572727273	33
8	659	2775	173.826158	2
8	668	361	566.774979526316	57
8	729	393	87.560292	2
8	755	412	75.651528	7
8	762	416	31.452001	2
8	767	2821	4.853583	2
8	792	431	771.881379727273	11
