trait	Rate1	Rate2	LogL	Lik.Root	First.Evol	Med.Evol	N.evol	N.origins	Origins	Dates.Origins
K01361	-2.45813893343245e-05	-0.00256013381453288	-130.10138899376	0.998833310579946	938.933978	3572.128905	114	2	2474, 4399	938.933978, 1903.089273
K01362	-0.000720029324582965	-0.000240775167359679	-500.05678884179	0.999228441305484	938.933978	3730.374386	107	3	2474, 4401, 4439	938.933978, 2430.955609, 2465.191362
K02249	-4.18037964634291e-06	-0.00304113269600087	-32.993800506155	0.998999076611584	1416.658921	3573.762702	134	3	2475, 4398, 4400	1416.658921, 3845.416488, 2223.35251
K05841	-7.43615667674552e-05	-0.0019374091863401	-153.822912959684	0.998971064464827	938.933978	3650.164704	103	3	2474, 4401, 4439	938.933978, 2430.955609, 2465.191362
K05844	-0.000150353314108817	-0.000517732218461869	-355.016151034887	0.998785147910447	938.933978	3553.8407115	54	2	2474, 4399	938.933978, 1903.089273
K05845	-0.000263731102255381	-0.00173301482618671	-470.5728773456	0.998995019271992	938.933978	3608.131868	123	2	2474, 4399	938.933978, 1903.089273
K05846	-0.000470433664018344	-0.00114171667529915	-669.199659619194	0.998963099670236	1416.658921	3635.689328	121	2	2475, 4399	1416.658921, 1903.089273
K05847	-0.000447182527532083	-0.00114401991975944	-593.649038724362	0.998974203586907	1899.410578	3715.01001	133	3	2477, 4378, 4399	1899.410578, 2117.495262, 1903.089273
K00508	-0.000129151937619435	-0.00139791242433062	-369.28952940401	0.999073950008831	1416.658921	3507.6305175	80	4	2475, 4398, 4401, 4437	1416.658921, 3845.416488, 2430.955609, 2346.177378
K00500	-8.14811028385897e-05	-0.00134816647290564	-284.775640637854	0.99865363596928	1416.658921	3597.078516	66	2	2475, 4399	1416.658921, 1903.089273
K00507	-5.30659378369139e-05	-0.000733212474274461	-301.858836939676	0.997289517300156	938.933978	3613.5295085	30	3	2474, 4401, 4438	938.933978, 2430.955609, 2413.732728
K00505	-8.56465275599199e-05	-0.00463016012460093	-109.762555314466	0.99899999983997	1416.658921	3645.8427595	190	2	2475, 4399	1416.658921, 1903.089273
K01101	-0.000113738882405979	-0.000416529762073611	-259.493446827957	0.998100355734144	938.933978	3550.988175	41	4	2474, 4402, 4440, 4468	938.933978, 3052.889894, 2807.857168, 2536.349634
K01103	-1.1393371890282e-05	-0.000214455937277466	-35.2970097473503	0.999918772453735	2139.124812	3392.957032	9	7	2501, 2541, 3251, 3354, 3376, 4123, 4472	3859.292944, 3561.866697, 2699.935956, 2606.279362, 3526.845904, 2139.124812, 3834.46326
K01104	-0.000194762297367428	-0.000354031607512884	-448.466637338437	0.999199722386381	938.933978	3759.239379	45	2	2474, 4499	938.933978, 3028.559449
K05592	-0.000472955533314845	-0.000326782945098401	-441.575766704227	0.998796724210195	938.933978	3696.425258	83	2	2474, 4400	938.933978, 2223.35251
K05593	-0.000170204529645275	-0.00407456645190102	-302.643804478587	0.998999956266609	938.933978	3617.10975	149	2	2474, 4400	938.933978, 2223.35251
K05590	-6.76583386825346e-06	-5.95106090746392e-05	-31.488069188189	0.999993509724098	3246.636416	3706.597516	3	2	2663, 3209	3246.636416, 3981.011766
K05591	-1.11265259379084e-05	-0.00114168360113458	-185.760169362497	0.994392803145217	938.933978	3549.244232	38	2	2474, 4399	938.933978, 1903.089273
K05596	-2.77926070361128e-05	-0.00170555941625248	-295.787665323825	0.99821672641455	1416.658921	3625.96375	74	4	2475, 4398, 4403, 4439	1416.658921, 3845.416488, 3337.348937, 2465.191362
K05597	-1.46035118955008e-05	-0.0040776312427343	-92.0566279494353	0.99899927713697	938.933978	3646.459211	139	2	2474, 4400	938.933978, 2223.35251
K05594	-3.88979944034188e-06	-0.00275138391369574	-26.977196875085	0.999002366350086	1809.157363	3609.342283	132	3	2476, 4390, 4400	1809.157363, 3611.519581, 2223.35251
K05595	-0.000238046053819798	-0.0005340133227839	-522.975224064064	0.995968030405657	1416.658921	3915.991807	58	3	2475, 4398, 4399	1416.658921, 3845.416488, 1903.089273
K05599	-3.44507339396715e-05	-0.00780426852564515	-45.4214839295748	0.998999999999995	938.933978	3698.988883	217	2	2474, 4399	938.933978, 1903.089273
K11962	-2.51749956579174e-06	-0.000603112418292232	-22.1958436994843	0.999544423914737	1903.089273	3228.638525	14	12	2997, 3260, 3302, 3315, 3418, 3487, 3492, 3493, 4119, 4123, 4389, 4399	3512.645451, 3480.771321, 3358.005653, 3098.341528, 3724.194039, 3224.887972, 3221.483043, 3232.389078, 3525.373877, 2139.124812, 2702.50514, 1903.089273
K14540	-5.65416588065022e-05	-0.000145470712903869	-186.800226118702	0.999953568494518	1809.157363	3397.350646	15	1	2476	1809.157363
K12529	-3.86513054346936e-05	-0.00388558821438066	-67.0934544744439	0.999000019046309	1416.658921	3632.044825	153	4	2475, 4402, 4440, 4468	1416.658921, 3052.889894, 2807.857168, 2536.349634
K12528	-3.09639484634172e-05	-0.00440284657962627	-57.3419005598814	0.999000003634879	1899.410578	3586.6437205	162	4	2477, 4378, 4389, 4399	1899.410578, 2117.495262, 2702.50514, 1903.089273
K02456	-0.000154986921835867	-0.00060327141838741	-406.637957788947	0.997354259144906	938.933978	3718.5664035	68	2	2474, 4399	938.933978, 1903.089273
K02457	-1.90030026508548e-05	-0.00116722031134325	-258.685048793285	0.99616979622381	1416.658921	3656.21317	47	3	2475, 4433, 4481	1416.658921, 2777.979482, 3729.35818
