Genome Name / Sample Name	JGI Project ID / ITS PID	DB	IMG_Name	IMG_Downloaded
Eremococcus coleocola DSM 15696	1012064	ErecolDSM15696_FD	ErecolDSM15696_FD.2524614563.tar.gz	YES
Algoriphagus zhangzhouensis DSM 25035	1055418	AlgzhaDSM25035_FD	AlgzhaDSM25035_FD.2617270825.tar.gz	YES
Oscillatoria sp. PCC 10802	401199	OscspPCC10802_FD	OscspPCC10802_FD.2509276047.tar.gz	YES
Acidovorax valerianellae DSM 16619	1055376	AcivalDSM16619_FD	AcivalDSM16619_FD.2615840716.tar.gz	YES
Azospira suillum PS	202768	DecsuiPS_FD	DecsuiPS_FD.2508501046.tar.gz	YES
Thioalkalivibrio sp. ALJ24	1000484	ThispALJ24_FD	ThispALJ24_FD.2518285533.tar.gz	YES
Flavobacterium chilense DSM 24724	1107858	FlachiDSM24724_FD	FlachiDSM24724_FD.2700988709.tar.gz	YES
Shewanella baltica OS678	402583	sheb8	sheb8.2630968672.tar.gz	YES
Enterobacter sp. NFIX45	1049868	EntspNFIX45_FD	EntspNFIX45_FD.2602042066.tar.gz	YES
Nitrosomonas cryotolerans ATCC 49181	1012227	NitcryATCC49181_FD	NitcryATCC49181_FD.3356512-2556921000.tar.gz	YES
Pseudomonas stutzeri RCH2	401758	null	NA	NO
Xylanimonas cellulosilytica XIL07, DSM 15894	98675	xylce	NA	NO
Flavobacterium lacus CGMCC 1.12504	1128556	FlalacCGMC112504_FD	FlalacCGMC112504_FD.2718217692.tar.gz	YES
Desulfovirgula thermocuniculi DSM 16036	1010779	DestheDSM16036_FD	DestheDSM16036_FD.2524023160.tar.gz	YES
Pseudomonas sp. NFACC44-2	1049568	PsespNFACC442_FD	PsespNFACC442_FD.2599185315.tar.gz	YES
Asticcacaulis benevestitus DSM 16100, ATCC BAA-896	406528	null	NA	NO
Bacillus subtilis J24	403809	BacsubJ24_FD	BacsubJ24_FD.2505679043.tar.gz	YES
Porphyromonas levii DSM 23370	405761	PorDSM23370_FD	PorDSM23370_FD.2515154110.tar.gz	YES
Carnobacterium viridans MPL-11, DSM 14451	1022042	CarvirMPL11_FD	CarvirMPL11_FD.2634166280.tar.gz	YES
Oceanobacter kriegii DSM 6294	1010746	null	NA	NO
Bacillus caseinilyticus SP	1102524	BaccasSP_FD	BaccasSP_FD.2675903024.tar.gz	YES
Pseudomonas sp. NFIX46	1049871	PsespNFIX46_FD	PsespNFIX46_FD.2603880185.tar.gz	YES
Geodermatophilus telluris DSM 45421	1048816	GeotelDSM45421_FD	GeotelDSM45421_FD.2602042050.tar.gz	YES
Granulicella tundricola MP5ACTX9	401908	AcispMP5ACTX9_FD	AcispMP5ACTX9_FD.2503904009.tar.gz	YES
Aidingimonas halophila DSM 19219	1108097	AidhalDSM19219_FD	AidhalDSM19219_FD.2693429859.tar.gz	YES
Kosmotoga olearia TBF 19.5.1	101000	theba	NA	NO
Rhodococcus sp. 164Chir2E	1008204	Rhosp164Chir2E_FD	Rhosp164Chir2E_FD.2593339195.tar.gz	YES
Lactobacillus reuteri 100-23	16740	lacro	NA	NO
Flavobacteriaceae bacterium MAR_2010_118	1046597	FlabacR_2010_118_FD	FlabacR_2010_118_FD.2596583625.tar.gz	YES
Aquiflexum balticum BA160, DSM 16537	401024	null	NA	NO
Lactobacillus apis R-53131	1052824	LacapiR53131_FD	LacapiR53131_FD.2617270705.tar.gz	YES
Variovorax sp. CF079	1094172	VarspCF079_FD	VarspCF079_FD.2687453692.tar.gz	YES
Acinetobacter tjernbergiae DSM 14971	1000004	AcitjeDSM14971_FD	AcitjeDSM14971_FD.2517572243.tar.gz	YES
Corynebacterium massiliense DSM 45435	1010767	CormasDSM45435_FD	CormasDSM45435_FD.2524023165.tar.gz	YES
Bradyrhizobium sp. R5	1071348	BraspR5_FD	BraspR5_FD.2654588101.tar.gz	YES
