Genome Name / Sample Name	JGI Project ID / ITS PID	DB	Rel_DB
Eremococcus coleocola DSM 15696	1012064	Ereco_DSM_15696	ErecolDSM15696_FD
Algoriphagus zhangzhouensis DSM 25035	1055418	AlgzhaDSM25035	AlgzhaDSM25035_FD
Oscillatoria sp. PCC 10802	401199	OscspPCC10802	OscspPCC10802_FD
Acidovorax valerianellae DSM 16619	1055376	AcivalDSM16619	AcivalDSM16619_FD
Azospira suillum PS	202768	DecsuiPS	DecsuiPS_FD
Thioalkalivibrio sp. ALJ24	1000484	ThiAL_ALJ24	ThispALJ24_FD
Flavobacterium chilense DSM 24724	1107858	FlachiDSM24724	FlachiDSM24724_FD
Shewanella baltica OS678	402583	sheb8	null
Enterobacter sp. NFIX45	1049868	EntspNFIX45	EntspNFIX45_FD
Nitrosomonas cryotolerans ATCC 49181	1012227	NitcryATCC49181	NitcryATCC49181_FD
Pseudomonas stutzeri RCH2	401758		null
Xylanimonas cellulosilytica XIL07, DSM 15894	98675	xylce	null
Flavobacterium lacus CGMCC 1.12504	1128556	FlalacCGMC112504	FlalacCGMC112504_FD
Desulfovirgula thermocuniculi DSM 16036	1010779	DestheDSM16036	DestheDSM16036_FD
Pseudomonas sp. NFACC44-2	1049568	PsespNFACC442	PsespNFACC442_FD
Asticcacaulis benevestitus DSM 16100, ATCC BAA-896	406528		null
Bacillus subtilis J24	403809	Bacsu_2505679043	BacsubJ24_FD
Porphyromonas levii DSM 23370	405761	A3GGDRAFT_9598	PorDSM23370_FD
Carnobacterium viridans MPL-11, DSM 14451	1022042	CarvirMPL11	CarvirMPL11_FD
Oceanobacter kriegii DSM 6294	1010746		null
Bacillus caseinilyticus SP	1102524	BaccasSP	BaccasSP_FD
Pseudomonas sp. NFIX46	1049871	PsespNFIX46	PsespNFIX46_FD
Geodermatophilus telluris DSM 45421	1048816	GeotelDSM45421	GeotelDSM45421_FD
Granulicella tundricola MP5ACTX9	401908	Grasp_649633002	AcispMP5ACTX9_FD
Aidingimonas halophila DSM 19219	1108097	AidhalDSM19219	AidhalDSM19219_FD
Kosmotoga olearia TBF 19.5.1	101000	theba	null
Rhodococcus sp. 164Chir2E	1008204	Rhosp164Chir2E	Rhosp164Chir2E_FD
Lactobacillus reuteri 100-23	16740	lacro	null
Flavobacteriaceae bacterium MAR_2010_118	1046597	FlabacR_2010_118	FlabacR_2010_118_FD
Aquiflexum balticum BA160, DSM 16537	401024		null
Lactobacillus apis R-53131	1052824	LacapiR53131	LacapiR53131_FD
Variovorax sp. CF079	1094172	VarspCF079	VarspCF079_FD
Acinetobacter tjernbergiae DSM 14971	1000004	Acitj_DSM_14971	AcitjeDSM14971_FD
Corynebacterium massiliense DSM 45435	1010767	CormasDSM45435	CormasDSM45435_FD
Bradyrhizobium sp. R5	1071348	BraspR5	BraspR5_FD
Pseudomonas tuomuerensis CGMCC 1.1365	1041463	PsetuoCGMCC11365	PsetuoCGMCC11365_FD
Streptomyces emeiensis CGMCC 4.3504	1076399	StremeCGMCC43504	StremeCGMCC43504_FD
Pseudomonas mosselii DSM 17497	1021491	PsemosDSM17497	PsemosDSM17497_FD
Pontibacter actiniarum KMM 6156, DSM 19842	401086		null
Bradyrhizobium japonicum USDA 135	404544	YUQDRAFT_8377	
