Name	GenomeName	Genome
2230705792		2228664006
2501022241		2501004205
2501034820		2501025493
2501414483		2501025505
2501790701		2501779502
2501799946		2501799900
2501837328		2501799908
2501939502		2501915963
2501962258		2501939606
2502502716		2502422321
2502685867		2502545039
2502855360		2502790015
2502869995		2502790017
2503009358		2502957028
2503199683		2503198000
2503364240		2503283022
2503366460		2503283023
2503526667		2503508007
2503532715		2503508009
2503574972		2503538010
2503594978		2503538017
2503615230		2503538021
2503632444		2503538027
2503634863		2503538028
2503696424		2503692001
2503736905		2503707007
2503738781		2503707008
2503744442		2503707009
2503755173		2503754000
2503785031		2503754015
2503789921		2503754016
2503796883		2503754017
2503798462		2503754019
2503863221		2503754044
2503874363		2503754046
2503887089		2503754048
2503948426		2503904009
2503956488		2503904012
2503963569		2503904014
2504084068		2503982034
2504087011		2503982035
2504094582		2503982036
2504099269		2503982037
2504106408		2503982039
2504127887		2503982046
2504130747		2503982047
2504136265		2504136000
2504145513		2504136002
2504156402		2504136006
2504582855		2504557005
2504585663		2504557006
2504607334		2504557012
2504659891		2504643006
2504679805		2504643012
2504685343		2504643013
2504707187		2504643019
2504742134		2504643030
2504771350		2504756004
2504783692		2504756006
2504824497		2504756018
2504956475		2504756058
2504962372		2504756059
2504969139		2504756061
2504979044		2504756063
2504983927		2504756064
2505078875		2504756083
2505283800		2505119042
2505286019		2505119043
2505382414		2505313015
2505688479		2505679005
2505690872		2505679006
2505694120		2505679007
2505698892		2505679008
2505699539		2505679009
2505736661		2505679016
2505768419		2505679024
2505784000		2505679029
2505789436		2505679030
2505796663		2505679031
2505800025		2505679032
2505839186		2505679040
2505875888		2505679049
2505895934		2505679055
2505900997		2505679056
2505930773		2505679064
2505952464		2505679068
2505978246		2505679077
2505980268		2505679078
2505991429		2505679080
2506002855		2505679082
2506008076		2505679083
2506046078		2505679089
2506094584		2505679104
2506227126		2506210002
2506231469		2506210003
2506240128		2506210005
2506350421		2506210028
2506377744		2506210034
2506379412		2506210035
2506443505		2506381019
2506463058		2506381022
2506474584		2506381025
2506486974		2506485001
2506492397		2506485002
2506503971		2506485007
2506576234		2506520007
2506581372		2506520008
2506586510		2506520009
2506600536		2506520011
2506601970		2506520012
2506606185		2506520013
2506608596		2506520014
2506612333		2506520015
2506616753		2506520016
2506646566		2506520020
2506688871		2506520034
2506697977		2506520036
2506702513		2506520037
2506707427		2506520038
2506712530		2506520039
2506715469		2506520040
2506718621		2506520041
2506723703		2506520042
2506725681		2506520043
2506730035		2506520044
2506735124		2506520045
2506736934		2506520046
2506740454		2506520047
2506747183		2506520048
2506752865		2506520049
2506757418		2506520050
2506845333		2506783006
2506857249		2506783009
2506860951		2506783010
2506867045		2506783011
2506871758		2506783014
2507040366		2506783044
2507047819		2506783045
2507047847		2506783046
2507054340		2506783047
2507057847		2506783048
2507079585		2506783052
2507084621		2506783053
2507085377		2506783054
2507114372		2506783059
2507120226		2506783060
2507124528		2506783061
2507129286		2506783062
2507132454		2506783063
2507136018		2506783064
2507146134		2506783068
2507208434		2507149014
2507211275		2507149015
2507226552		2507149019
2507242407		2507149024
2507329885		2507262015
2507332731		2507262016
2507402959		2507262026
2507408932		2507262027
2507425234		2507262031
2507441981		2507262035
2507461044		2507262043
2507463520		2507262044
2507477680		2507262048
2507489315		2507262051
2507492737		2507262052
2507499289		2507262054
2507504415		2507262055
2507515119		2507262057
2507526868		2507525000
2508010189		2507525018
2508505616		2508501001
2508510974		2508501002
2508519354		2508501004
2508545847		2508501009
2508547212		2508501010
2508551987		2508501011
2508554678		2508501012
2508560273		2508501013
2508594038		2508501021
2508600527		2508501023
2508620771		2508501027
2508624596		2508501028
2508634843		2508501030
2508639188		2508501031
2508653320		2508501034
2508666113		2508501037
2508668905		2508501038
2508672584		2508501039
2508678794		2508501040
2508688641		2508501041
2508694674		2508501042
2508699969		2508501043
2508703730		2508501044
2508707221		2508501045
2508710874		2508501046
2508715809		2508501047
2508720846		2508501048
2508724569		2508501049
2508725373		2508501050
2508737919		2508501051
2508741175		2508501052
2508833107		2508501066
2508837914		2508501067
2508840768		2508501068
2508842736		2508501069
2508847140		2508501070
2508850209		2508501071
2508874432		2508501075
2509011595		2508501098
2509020457		2508501100
2509034918		2508501103
2509037507		2508501105
2509043723		2508501106
2509046747		2508501107
2509051587		2508501108
2509055165		2508501109
2509057142		2508501110
2509059800		2508501111
2509069147		2508501112
2509073278		2508501113
2509076004		2508501114
2509080809		2508501115
2509095266		2508501118
2509095899		2508501119
2509100395		2508501120
2509112911		2508501122
2509115118		2508501123
2509126274		2508501124
2509134658		2508501126
2509142508		2508501127
2509146418		2508501128
2509269709		2508501136
2509325221		2509276007
2509338171		2509276010
2509341707		2509276011
2509348249		2509276013
2509351595		2509276014
2509359866		2509276015
2509362170		2509276016
2509366629		2509276017
2509371124		2509276018
2509378298		2509276019
2509380827		2509276020
2509389659		2509276021
2509394613		2509276022
2509400409		2509276023
2509406514		2509276025
2509409670		2509276026
2509421008		2509276028
2509425906		2509276029
2509428214		2509276030
2509431865		2509276031
2509444727		2509276033
2509457131		2509276035
2509460928		2509276036
2509495047		2509276044
2509500491		2509276045
2509509360		2509276047
2509515895		2509276048
2509527215		2509276051
2509533209		2509276052
2509546292		2509276054
2509551664		2509276055
2509553270		2509276056
2509558213		2509276057
2509560757		2509276058
2509563357		2509276059
2509566925		2509276060
2509572285		2509276061
2509576562		2509276062
2509581317		2509276063
2509584370		2509276064
2509591837		2509276065
2509595627		2509276066
2509598703		2509276067
2509602310		2509601001
2509619710		2509601004
2509661881		2509601008
2509690981		2509601011
2509709970		2509601013
2509713951		2509601014
2509723944		2509601017
2509740724		2509601019
2509743894		2509601020
2509766311		2509601025
2509774871		2509601026
2509780314		2509601027
2509786559		2509601028
2509788559		2509601029
2509803511		2509601031
2509809320		2509601032
2509819397		2509601034
2509822740		2509601035
2509826309		2509601036
2509836872		2509601038
2509844872		2509601039
2509854496		2509601041
2509862205		2509601042
2509869333		2509601044
2509875251		2509601046
2509882717		2509601048
2510023964		2509887024
2510038798		2509887025
2510054988		2509887032
2510059734		2509887033
2510061231		2509887034
2510077592		2510065005
2510090402		2510065008
2510092772		2510065009
2510094063		2510065010
2510100366		2510065011
2510117670		2510065015
2510119564		2510065016
2510134625		2510065019
2510200027		2510065032
2510241509		2510065044
2510248097		2510065045
2510256198		2510065046
2510265878		2510065049
2510270457		2510065050
2510275058		2510065051
2510277816		2510065052
2510285505		2510065053
2510296087		2510065055
2510302568		2510065056
2510308947		2510065057
2510313654		2510065058
2510319238		2510065059
2510323932		2510065060
2510330382		2510065062
2510336333		2510065063
2510341657		2510065064
2510374789		2510065076
2510396146		2510065083
2510399026		2510065084
2510409422		2510065085
2510410355		2510065086
2510414837		2510065087
2510435220		2510065092
2510436814		2510436000
2510445132		2510436001
2510452616		2510436004
2510472606		2510461002
2510571667		2510461022
2510776429		2510461053
2510845127		2510461070
2510896427		2510461076
2510909790		2510461079
2510921261		2510917000
2511460887		2511231041
2511462403		2511231042
2511464618		2511231043
2511488937		2511231049
2511498664		2511231052
2512533989		2512047086
2512536399		2512047087
2512560067		2512047091
2512613238		2512564009
2512619874		2512564010
2512629190		2512564011
2512631262		2512564012
2512646353		2512564015
2512874292		2512564091
2512918172		2512875013
2512919466		2512875014
2512925456		2512875015
2512932902		2512875016
2512960926		2512875024
2512970203		2512875026
2512976007		2512875027
2513005037		2512875033
2513049303		2513020008
2513189756		2513020036
2513221721		2513020047
2513223359		2513020048
2513530495		2513237078
2513574253		2513237084
2513581703		2513237085
2513588725		2513237086
2513590553		2513237087
2513601119		2513237088
2513607642		2513237089
2513609050		2513237090
2513621304		2513237091
2513624221		2513237092
2513638711		2513237094
2513649183		2513237095
2513656207		2513237096
2513666035		2513237097
2513674460		2513237098
2513684809		2513237099
2513691458		2513237100
2513694649		2513237101
2513702112		2513237102
2513714385		2513237103
2513716714		2513237104
2513745335		2513237107
2513759936		2513237109
2513769950		2513237111
2545824018		2513237112
2558308049		2513237113
2545824016		2513237114
2558308014		2513237116
2558308207		2513237117
2513802809		2513237119
2513808983		2513237120
2545824008		2513237121
2513813624		2513237122
2513818038		2513237123
2513836547		2513237133
2513846115		2513237135
2513852641		2513237136
2513860691		2513237137
2513871891		2513237138
2513874198		2513237139
2513887245		2513237140
2513892484		2513237141
2513907433		2513237143
2513917614		2513237145
2513930752		2513237146
2513935643		2513237147
2513944374		2513237148
2513969967		2513237153
2513982452		2513237155
2513989243		2513237156
2513990544		2513237157
2514002513		2513237159
2514009275		2513237160
2514010044		2513237161
2514024988		2513237162
2514038551		2513237164
2514055637		2513237166
2558308202		2514885007
2514920117		2514885008
2515106098		2515075008
2515113716		2515075009
2515135670		2515075013
2515207448		2515154010
2515213886		2515154011
2515215699		2515154012
2545824029		2515154013
2558308069		2515154014
2515228840		2515154015
2515236411		2515154016
2515246559		2515154017
2558308073		2515154018
2515251556		2515154019
2515253038		2515154020
2515256494		2515154021
2558308165		2515154022
2558308234		2515154023
2515263106		2515154024
2515265555		2515154025
2545824006		2515154026
2545824019		2515154027
2515275923		2515154028
2558308070		2515154029
2515283146		2515154030
2558308101		2515154031
2515295172		2515154032
2515297343		2515154033
2515355327		2515154055
2515368421		2515154059
2515429956		2515154070
2558308136		2515154071
2558308204		2515154072
2515437698		2515154073
2558308043		2515154074
2515446361		2515154075
2515449578		2515154076
2515454152		2515154077
2515455578		2515154078
2515463107		2515154079
2515465259		2515154080
2515466188		2515154081
2515472500		2515154082
2545824010		2515154083
2515480813		2515154084
2515484242		2515154085
2558308102		2515154086
2515493378		2515154087
2515498466		2515154088
2515502768		2515154089
2515504696		2515154090
2576860723		2515154091
2545824009		2515154092
2515515886		2515154093
2515521074		2515154094
2515528248		2515154095
2515577271		2515154102
2515600125		2515154105
2515613563		2515154107
2515615887		2515154108
2558308192		2515154109
2558308191		2515154110
2515623945		2515154111
2515624407		2515154112
2515639638		2515154113
2515670914		2515154118
2515673819		2515154119
2558308138		2515154120
2558308112		2515154121
2515692764		2515154123
2515697611		2515154124
2515703018		2515154125
2515708064		2515154126
2515713359		2515154127
2515718222		2515154128
2515723343		2515154129
2558308125		2515154130
2558308074		2515154131
2515731937		2515154132
2515737709		2515154133
2515744703		2515154134
2515749773		2515154135
2515759891		2515154137
2558308028		2515154138
2515766194		2515154139
2515775644		2515154140
2515784234		2515154141
2515789801		2515154142
2515797988		2515154143
2558308228		2515154144
2515808817		2515154145
2515813727		2515154146
2515816056		2515154147
2515822328		2515154148
2515836034		2515154150
2515842835		2515154151
2515844755		2515154152
2558308075		2515154153
2515850468		2515154154
2545824002		2515154155
2515860312		2515154156
2558308091		2515154157
2515866323		2515154158
2515868986		2515154159
2558308100		2515154160
2558308244		2515154161
2558308133		2515154162
2515886333		2515154163
2515898432		2515154165
2515904923		2515154166
2515911802		2515154167
2558308057		2515154168
2515928815		2515154170
2558308241		2515154172
2558308198		2515154173
2558308080		2515154174
2515947138		2515154175
2558308045		2515154176
2515960842		2515154177
2515966339		2515154178
2515970955		2515154179
2515976099		2515154180
2515981007		2515154181
