test.a	test.b	first.obs.mean	first.pred.mean	nevol.obs.mean	nevol.pred.mean
0.51	0.51	6.46325334101896	74.05217494954	49.2	9.3
0.53	0.51	13.5028220627569	65.8707830611417	51.8	7.9
0.55	0.51	15.4641800383758	74.2930282431659	48.9	7.3
0.57	0.51	21.8096319977195	70.7836958186963	46.9	7.3
0.59	0.51	19.7232804194996	74.2971038570515	51.2	7.1
0.61	0.51	13.5505776829756	75.0491855992571	48.6	7.4
0.63	0.51	22.3985805346777	73.4827693836884	48.2	6.3
0.65	0.51	28.0679048384741	72.9485453038332	48	6.9
0.67	0.51	17.6867911933805	79.0947069678768	46	4.9
0.69	0.51	24.2591446531127	83.8852905383508	46	4.3
0.71	0.51	12.4130388046633	81.3366481444883	44.6	4.4
0.73	0.51	25.5013211641913	75.4464162365395	44.5	4.4
0.75	0.51	31.6121724425084	78.7238693612288	41.9	4.2
0.77	0.51	16.1708753514056	84.7110917362072	41.4	4.3
0.79	0.51	20.521805959787	85.8555689711402	37.9	2.7
0.81	0.51	21.3617880666173	88.3233020386938	38.7	3.2
0.83	0.51	23.5739163818438	Inf	34.7	2.6
0.85	0.51	24.1695987238333	88.6136578220874	33.2	2.7
0.87	0.51	30.3950002071766	Inf	31.4	2
0.89	0.51	26.5265260692295	Inf	27.3	0.9
0.91	0.51	38.2901810566465	Inf	22.2	0.7
0.93	0.51	34.0185334333343	Inf	19.5	0.8
0.95	0.51	45.9197437508347	Inf	15.2	0.7
0.97	0.51	43.6491018956536	Inf	10	0.6
0.99	0.51	Inf	Inf	3.8	0.1
0.51	0.53	12.0546469871868	68.3704468789486	45.5	6.4
0.53	0.53	14.4647735577645	71.3542562324494	48.8	8.5
0.55	0.53	11.5718648544378	70.4212949841307	50	8.5
0.57	0.53	18.2563960075807	79.2842618699772	47.6	7.3
0.59	0.53	10.5270570691753	71.2546140154875	47.1	7.2
0.61	0.53	28.5463802343728	71.406537176131	46.7	6.7
0.63	0.53	18.7289887002461	74.2367207104931	45.8	5.6
0.65	0.53	18.8973050719162	71.4072196485082	47.1	6.5
0.67	0.53	14.0759613641819	69.4164215924963	48.8	6.1
0.69	0.53	21.6716930155112	76.7031711218658	46.3	5.5
0.71	0.53	18.4701408478544	80.3155016868029	42.4	3.5
0.73	0.53	19.6995316774367	80.3582724978154	39.9	4.8
0.75	0.53	28.4901097115336	82.136136659348	43.9	4.8
0.77	0.53	25.9970157806802	83.3485625912464	40.1	3.1
0.79	0.53	15.3624441315495	86.4737485102509	39.7	3.2
0.81	0.53	25.0097788580298	87.1556314044822	37.6	2.8
0.83	0.53	25.933067758839	Inf	39	2.8
0.85	0.53	40.0362700880514	Inf	31.1	1.4
0.87	0.53	22.1931792735015	Inf	31.9	2.7
0.89	0.53	30.8016479635126	Inf	27.4	2.1
0.91	0.53	32.3461095638577	Inf	23.9	1.7
0.93	0.53	38.3298239586005	Inf	21.3	0.9
0.95	0.53	43.4361136984419	Inf	13.7	0.4
0.97	0.53	53.2601506710392	Inf	10.4	0.4
0.99	0.53	73.436823491759	Inf	3	0
0.51	0.55	16.9353536899196	71.127556973074	50.5	9.7
0.53	0.55	18.6968436039814	71.1128463808698	49.6	7.9
0.55	0.55	16.9008297743271	71.8114410127398	47.5	6.6
0.57	0.55	20.2807013063347	73.1718098675166	48.7	7.1
0.59	0.55	21.4868152795159	69.801760020101	49.3	8.7
0.61	0.55	16.7162417426891	68.4032615629258	45.8	7.6
0.63	0.55	14.1104834755396	Inf	46.8	6.4
0.65	0.55	18.3008008621247	71.2528397147996	47.3	6.1
0.67	0.55	20.4248143812657	76.8606809310954	45.4	6.1
0.69	0.55	27.3883890158903	86.8006921873185	44.4	5.4
0.71	0.55	19.9081684567925	77.8397154610161	48.5	5.8
0.73	0.55	30.9461698745786	78.5145628843134	42.8	4.9
0.75	0.55	21.7113868407377	82.0370362212248	44.7	4.1
0.77	0.55	17.7567930961231	Inf	40.3	3.4
0.79	0.55	37.6428182984686	88.1988377729406	38.2	3.3
0.81	0.55	20.0486365012807	77.6903047042029	38.2	3.2
0.83	0.55	26.5530754018532	84.4912170089905	36	2.5
0.85	0.55	23.8432662820959	84.442493834375	34.6	2.5
0.87	0.55	27.3843636051288	Inf	32.2	2.5
0.89	0.55	35.0280967436079	Inf	29	1.5
0.91	0.55	32.7702908697745	Inf	23.6	1.4
0.93	0.55	38.2446381937912	Inf	19.9	0.5
0.95	0.55	36.4665034498203	Inf	15.8	0.6
0.97	0.55	51.1481557517413	Inf	10.8	0.4
0.99	0.55	Inf	Inf	3.8	0
0.51	0.57	26.935841283891	78.5179699708581	46	8.5
0.53	0.57	15.0123353024075	67.3594382284795	46.5	7.9
0.55	0.57	20.2574635626279	65.5261840810307	46.8	8
0.57	0.57	15.6397017432722	67.2030926925377	46.3	8.4
0.59	0.57	12.3028402360693	71.5949082166517	48.1	8
0.61	0.57	26.5959522827901	74.4103384700906	46.9	7.2
0.63	0.57	19.7139034067996	74.1877767448983	46.6	8.7
0.65	0.57	17.423396540729	71.124695825258	46.8	5.5
0.67	0.57	27.4643422041081	81.2186072929693	44.3	5.6
0.69	0.57	15.4429453781628	80.5630715072612	47.3	5.9
0.71	0.57	20.9771611643564	76.9890233039075	45.1	7.1
0.73	0.57	14.3610632751558	82.2720100223517	43.5	4.6
0.75	0.57	14.1806924752803	76.7643169138372	46.2	4.6
0.77	0.57	23.9825740063089	81.2697482594582	42.9	4.7
0.79	0.57	33.7385933139756	83.9563977336521	41.5	4.9
0.81	0.57	22.5647089366991	Inf	39.1	3.9
0.83	0.57	21.772691704564	81.2779783733575	35.6	3.8
0.85	0.57	23.0270481667217	77.9397919304945	36.4	3.2
0.87	0.57	31.4536328278148	Inf	31.6	2.4
0.89	0.57	26.6810905066947	84.7318095001459	29.4	1.6
0.91	0.57	28.3067322224217	Inf	25.4	0.7
0.93	0.57	31.847711225119	Inf	21.9	1
0.95	0.57	41.3300848490191	Inf	17.2	0.8
0.97	0.57	50.0068332423433	Inf	10.1	0.5
0.99	0.57	Inf	Inf	3.5	0.1
0.51	0.59	19.1576394630547	72.8821484201954	47.8	7.9
0.53	0.59	16.9390628758319	69.6913669949263	45.1	9.6
0.55	0.59	20.6632052142371	70.834033753411	47.4	8.4
0.57	0.59	10.4281465135559	73.7920936328369	48.6	8.2
0.59	0.59	20.4880854778103	75.7103799876	47.9	8.2
0.61	0.59	22.2196837027357	69.7428077175856	49.1	8.2
0.63	0.59	11.8115282769503	71.1833558536594	50.1	7.2
0.65	0.59	18.3047932092427	63.025074091444	47.8	7.5
0.67	0.59	23.7274192984136	74.1139785163713	49.1	6.5
0.69	0.59	30.8160593095055	73.2593666520168	46.5	7.3
0.71	0.59	12.6281421017753	69.8005998295809	47.7	6.4
0.73	0.59	19.9609181082543	74.8711907776871	45.3	6.1
0.75	0.59	35.5698945936467	72.1351055130019	43.4	4.4
0.77	0.59	22.3936003851968	72.6997374771662	43.4	5.2
0.79	0.59	25.6225475402379	Inf	41.3	3.2
0.81	0.59	18.868801669197	Inf	38.2	3.2
0.83	0.59	29.0498045370411	81.6936835372561	38.7	3.9
0.85	0.59	27.8390936570986	82.1360359196448	36.3	2
0.87	0.59	26.6169801590061	82.5305177016861	34.7	3.4
0.89	0.59	21.0094910979452	Inf	29.1	2.4
0.91	0.59	31.0477788675494	Inf	25.9	1.6
0.93	0.59	35.1552442460554	Inf	23	0.8
0.95	0.59	29.5568203028111	Inf	15.5	0.4
0.97	0.59	47.4876570653717	Inf	11.6	0.2
0.99	0.59	63.9628473227431	Inf	4.1	0.2
0.51	0.61	24.1800040013864	73.5187846813476	48.4	9.5
0.53	0.61	18.8779981640093	74.1942388160381	50.9	10.5
