test.a test.b sim.mean sim.sem
0.51 0.5 0.499999988304449 1.3055773751745e-08
0.52 0.5 0.500000497659262 4.97959347798965e-07
0.53 0.5 0.499999998680684 7.16474735807671e-10
0.54 0.5 0.499999999867624 1.16594437266768e-09
0.55 0.5 0.500000010131811 1.01319257484079e-08
0.56 0.5 0.500000000525649 4.04718451923651e-10
0.57 0.5 0.500002024903932 2.03355288109943e-06
0.58 0.5 0.499999997957943 1.71033906282297e-09
0.59 0.5 0.500000000426284 4.27691020402132e-10
0.6 0.5 0.499999994966608 4.9991965934301e-09
0.61 0.5 0.499998925904172 9.83501047770127e-07
0.62 0.5 0.499992896747424 7.10285104233758e-06
0.63 0.5 0.500000003908358 4.04463778653413e-09
0.64 0.5 0.499999989342433 1.06865153820603e-08
0.65 0.5 0.49999997749307 2.24015743622747e-08
0.66 0.5 0.500000001882404 1.27325160696811e-09
0.67 0.5 0.500000029419114 2.85738661160887e-08
0.68 0.5 0.500000125241721 1.26383409088269e-07
0.69 0.5 0.500000000026816 2.70563273985478e-11
0.7 0.5 0.499997948987324 2.05105864860727e-06
0.71 0.5 0.500000000536989 4.36905882590819e-10
0.72 0.5 0.499999995909255 2.18064652455963e-08
0.73 0.5 0.499997530630304 2.26816700451378e-06
0.74 0.5 0.49999981152371 1.89385204998184e-07
0.75 0.5 0.499998783462359 1.1758944280951e-06
0.76 0.5 0.499999998216648 5.4071046393443e-08
0.77 0.5 0.499958604292903 4.14185870258508e-05
0.78 0.5 0.499999664206608 2.54542230022974e-07
0.79 0.5 0.499996430498512 3.55208231696652e-06
0.8 0.5 0.499999999959622 2.16605540969589e-11
0.81 0.5 0.500000033591957 2.21001693079395e-08
0.82 0.5 0.499998089793049 1.83362386082824e-06
0.83 0.5 0.499999376986806 6.56759880580007e-07
0.84 0.5 0.500000389361452 2.84043184344693e-07
0.85 0.5 0.498894755493903 0.00108313758422424
0.86 0.5 0.500014239498168 1.11526219768348e-05
0.87 0.5 0.499999211046099 7.9191197710251e-07
0.88 0.5 0.49999542347107 5.62330024208791e-06
0.89 0.5 0.499997039827882 2.09702924562564e-06
0.9 0.5 0.499999960799113 3.60188324127071e-08
0.91 0.5 0.49996744840769 2.42050484734864e-05
0.92 0.5 0.499997586859102 2.52040823273418e-06
0.93 0.5 0.500020452002081 2.02028348895451e-05
0.94 0.5 0.500042672882348 3.74023370223391e-05
0.95 0.5 0.495007381557173 0.00500007969950045
0.5 0.51 0.500000005063261 4.99833988190435e-09
0.51 0.51 0.500000000000737 1.25699798613803e-12
0.52 0.51 0.499999997917196 4.36722166725589e-09
0.53 0.51 0.499990330632935 9.67568079857686e-06
0.54 0.51 0.499999999992815 6.31292611811089e-12
0.55 0.51 0.500000000008098 1.56430401924004e-11
0.56 0.51 0.499999613648431 3.86489219186255e-07
0.57 0.51 0.499999623152249 3.49210662160629e-07
0.58 0.51 0.500000312989039 3.11878330219935e-07
0.59 0.51 0.500000049255837 4.92511670916751e-08
0.6 0.51 0.500000007968666 8.31095787777843e-09
0.61 0.51 0.499999995356121 4.51031694124613e-09
0.62 0.51 0.500004611936244 4.61130011541427e-06
0.63 0.51 0.500000004483872 6.31578270269234e-09
0.64 0.51 0.499999968992704 3.24020649971771e-08
0.65 0.51 0.499999216782286 7.82284736073082e-07
