test.a	test.b	sim.mean	sim.sem
0.9	0.51	29.5881711370857	1.74792696826757
0.9	0.53	29.7620914995671	1.91392243548401
0.9	0.55	33.0295955593016	1.86264210066913
0.9	0.57	29.6760165114378	1.76174149024506
0.9	0.59	31.5081501213949	1.82543830868972
0.9	0.61	30.9878277491806	1.66701802372083
0.9	0.63	28.3609924633903	1.65618259970897
0.9	0.65	30.8155613688743	1.79315664430639
0.9	0.67	30.709465633749	1.74598952481177
0.9	0.69	26.836191172111	1.43867601098164
0.9	0.71	28.1890898125332	1.50446173725845
0.9	0.73	27.3124945091361	1.58922329628759
0.9	0.75	29.0563223861099	1.58645576610809
0.9	0.77	30.6242920696232	1.72176635631057
0.9	0.79	25.6808440676398	1.59387050369983
0.9	0.81	22.5610440240591	1.45777447070022
0.9	0.83	21.6194580996381	1.4668496297267
0.9	0.85	24.0583304069766	1.41073477873241
0.9	0.87	24.4834247716854	1.38684113151728
0.9	0.89	21.6480723368638	1.42919520189752
0.9	0.91	20.1595673877671	1.18512548492712
0.9	0.93	17.8459118357656	1.18889613341211
0.9	0.95	20.0008582407836	1.0994362691807
0.9	0.97	17.6768994167715	1.05014236282441
0.9	0.99	17.1076036604586	1.01076675213899
