test.a	test.b	first.obs.mean	first.pred.mean	nevol.obs.mean	nevol.pred.mean
0.51	0.51	17.0939806927149	72.2679936188354	48.84	5
0.52	0.51	18.2100385013091	70.8534130669078	50.24	5
0.53	0.51	16.414528050655	72.1713548454129	48.69	5
0.54	0.51	17.979657337289	72.2974301312864	49.43	5
0.55	0.51	14.8225457673657	71.5648600495626	48.11	5
0.56	0.51	19.0439943688597	70.8463626279517	48.57	5
0.57	0.51	19.3294256670478	72.0028417095726	48.64	5
0.58	0.51	18.752088596735	74.6359058203858	47.51	5
0.59	0.51	16.0312797151171	73.0788744797758	48.41	5
0.6	0.51	20.9108803633057	75.3330926336429	48.16	5
0.61	0.51	18.1881468831501	77.3485936357904	47.2	5
0.62	0.51	17.5740106828449	74.2474654113394	47.55	5
0.63	0.51	19.640519655696	73.7699268708829	47.31	5
0.64	0.51	19.4812535271642	76.0965051191174	45.9	5
0.65	0.51	22.2336149660304	77.0791361397914	47.04	5
0.66	0.51	21.1247554261765	Inf	46.76	5
0.67	0.51	21.126414786571	76.4666717396144	45.15	5
0.68	0.51	22.5007762784314	79.2943697689175	45.24	5
0.69	0.51	21.7212953866136	78.6981611357372	45.78	5
0.7	0.51	21.7085307720563	Inf	44.18	5
0.71	0.51	21.9804633090017	Inf	44.48	5
0.72	0.51	21.1011191773988	Inf	43.75	5
0.73	0.51	22.8078136146288	Inf	43.24	5
0.74	0.51	22.4657534393074	Inf	43.27	5
0.75	0.51	23.8700173085406	Inf	40.89	5
0.76	0.51	21.4987261316551	Inf	41.8	5
0.77	0.51	23.1918381731606	Inf	40.7	5
0.78	0.51	27.144580171552	Inf	39.63	5
0.79	0.51	22.7095485294701	Inf	39.5	5
0.8	0.51	25.1384543552365	Inf	38.36	5
0.81	0.51	23.0295739399389	Inf	37.55	5
0.82	0.51	27.90285672583	Inf	36.81	5
0.83	0.51	27.6605764409688	Inf	34.94	5
0.84	0.51	28.6877030728356	Inf	34.82	5
0.85	0.51	26.0525217826175	Inf	33.29	5
0.86	0.51	29.1552865674965	Inf	31.85	5
0.87	0.51	30.7039675978688	Inf	30.5	5
0.88	0.51	31.8144517556821	Inf	28.54	5
0.89	0.51	31.3099460428189	Inf	26.85	5
0.9	0.51	35.5717275003355	Inf	25.3	5
0.91	0.51	31.1310332473939	Inf	22.95	5
0.92	0.51	35.4988232064526	Inf	22.71	5
0.93	0.51	38.8768879951279	Inf	19.59	5
0.94	0.51	43.2182911337252	Inf	17.19	5
0.95	0.51	43.3139684233675	Inf	14.87	5
0.96	0.51	51.038833366887	Inf	12.47	5
0.97	0.51	50.8950591895049	Inf	9.51	5
0.98	0.51	62.207802662622	Inf	6.42	5
0.99	0.51	Inf	Inf	3.81	5
0.51	0.52	17.8253051188617	70.9010802851575	49.04	5
0.52	0.52	18.9060746599398	73.9690460874761	48.62	5
0.53	0.52	17.3365311737656	69.5815842040596	49.26	5
0.54	0.52	16.9585958630214	72.195593409624	49.34	5
0.55	0.52	19.0047910336216	72.4314559655207	47.96	5
0.56	0.52	20.7277406228765	72.4505547275721	48.26	5
0.57	0.52	16.370402028773	71.9888298843021	49.03	5
0.58	0.52	18.5515241146986	72.2551255250205	47.16	5
0.59	0.52	16.8408867358847	73.1030859176543	48.24	5
0.6	0.52	18.284903277007	72.547807476102	47.52	5
0.61	0.52	21.6260043508547	73.9777549643443	46.59	5
0.62	0.52	17.7251649872575	76.7651636252646	46.36	5
0.63	0.52	20.4931882106608	74.541025055847	46.73	5
0.64	0.52	18.7393238100055	75.2116994435186	47.47	5
0.65	0.52	20.9239171047494	73.7449617667184	46.05	5
