taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	IMG Product Assignment	IMG Release	IMG Submission ID	JGI Project ID / ITS PID	JGI Analysis Product Name	JGI Analysis Project Type	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	GOLD Study ID	Add Date	Assembly Method	Combined Sample	Comments	Distance Matrix Calc. Date	Funding Agency	Gene Model QC	Genome Completeness %	High Quality	Is Public	NCBI Taxon ID	NCBI Project ID	RefSeq Project ID	Release Date	Strain	Submission Type	User Access	Genome Size   * assembled	Gene Count   * assembled	
641522613	Archaea	Finished	Cenarchaeum symbiosum	Cenarchaeum symbiosum A	DOE Joint Genome Institute (JGI)	641522613	Thaumarchaeota	unclassified	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	Cenarchaeum symbiosum	NA	IMG/W 2.6	0	200177	NA	Genome Analysis	Ga0028233	Genome Analysis	Gp0000220	Gs0003781	2008-05-30	NA	NA	NA	2017-03-28	NA	No	NA	No	Yes	414004	202	202	2008-08-01	A	Primary	NA	2045086	2066	
2508501109	Archaea	Finished	CSP_300154_796307	Aciduliprofundum sp. MAR08-339	DOE Joint Genome Institute (JGI)	2508501109	Euryarchaeota	unclassified	unclassified	unclassified	Aciduliprofundum	Aciduliprofundum sp. MAR08-339	Yes	0	6403	400462	NA	Genome Analysis	Ga0025087	Genome Analysis	Gp0004310	Gs0011836	2011-10-21	NA	NA	NA	2017-03-28	DOE	Yes	NA	Yes	Yes	673860	73039	0	2011-12-10	MAR08-339	Primary	NA	1437090	1598	
2509601048	Archaea	Finished	Completing the genomic survey of haloarchaeal genomes (revised), part 2	Natrinema pellirubrum 157	DOE Joint Genome Institute (JGI)	2509601048	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema pellirubrum	Yes	0	6743	402805	NA	Genome Analysis	Ga0025039	Genome Analysis	Gp0006804	Gs0000113	2011-11-23	Newbler v. 2.3	NA	NA	2017-03-28	DOE	No	NA	Yes	Yes	797303	52951	74437	2011-11-23	157	Primary	NA	4354100	4461	
2617270898	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Haloplanus vescus CGMCC 1.8712	DOE Joint Genome Institute (JGI)	2617270898	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus vescus	Yes	0	62838	1058180	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0070191	Genome Analysis	Gp0112560	Gs0110196	2015-06-01	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	555874	0	0	2015-06-11	CGMCC 1.8712	Primary	NA	2776859	3024	
644736372	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Halomicrobium mukohataei arg-2, DSM 12286	DOE Joint Genome Institute (JGI)	644736372	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium mukohataei	NA	IMG/W 3.0	0	98008	NA	Genome Analysis	Ga0028985	Genome Analysis	Gp0006434	Gs0000008	2009-10-13	Newbler v. 1.1.02.15, Phrap v. 4.24 SPS	NA	NA	2017-03-28	NA	Yes	NA	Yes	Yes	485914	27945	59107	2009-12-01	arg-2, DSM 12286	Primary	NA	3332349	3475	
2639762639	Archaea	Permanent Draft	Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia, USA	Haloferax larsenii CDM_5	DOE Joint Genome Institute (JGI)	2639762639	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax larsenii	Yes	0	73520	1066554	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0073311	Genome Analysis	Gp0115194	Gs0114675	2015-11-06	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	302484	0	0	2015-11-24	CDM_5	Primary	NA	3894077	4022	
2506783052	Archaea	Finished	Genome sequencing of novel haloarchaea from Deep Lake: an extremely cold and hypersaline Antarctic lake	halophilic archaeon DL31	DOE Joint Genome Institute (JGI)	2506783052	Euryarchaeota	Halobacteria	unclassified	unclassified	unclassified	unclassified	Yes	0	5881	402830	NA	Genome Analysis	Ga0024944	Genome Analysis	Gp0008478	Gs0015004	2011-08-10	NA	NA	NA	2017-03-28	DOE	Yes	NA	Yes	Yes	756883	52855	72619	NA	DL31	Primary	NA	3643158	3788	
641522657	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum neutrophilum V24Sta	DOE Joint Genome Institute (JGI)	641522657	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum neutrophilum	NA	IMG/W 2.6	0	16767	NA	Genome Analysis	Ga0031193	Genome Analysis	Gp0002327	Gs0030493	2008-05-30	NA	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	444157	15645	58421	2008-08-01	V24Sta	Primary	NA	1769823	2053	
2524023236	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park, US	NAG2_ff85-r01 (from OSP_B)	DOE Joint Genome Institute (JGI)	2524023236	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Yes	0	14286	0	NA	Genome Analysis	Ga0012832	Genome Analysis	Gp0039852	Gs0016042	2013-04-19	NA	NA	released per Ryan Jennings	2017-03-28	NA	No	NA	No	Yes	2157	0	0	2016-11-30	NA	Primary	NA	362952	490	
2522572144	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park, US	Thermoplasmatales-like-NAG3-r03 (from Dragon)	DOE Joint Genome Institute (JGI)	2522572144	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	Yes	0	13436	0	NA	Genome Analysis	Ga0012670	Genome Analysis	Gp0035753	Gs0016042	2013-03-08	NA	NA	released per Ryan Jennings	2017-03-28	NA	No	NA	No	Yes	28890	0	0	2016-11-30	NA	Primary	NA	1309546	1517	
2506783047	Archaea	Finished	Genome sequencing of novel haloarchaea from Deep Lake: an extremely cold and hypersaline Antarctic lake	Halobacterium sp. DL1	DOE Joint Genome Institute (JGI)	2506783047	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium sp. DL1	Yes	0	5875	402828	NA	Genome Analysis	Ga0024941	Genome Analysis	Gp0008665	Gs0015004	2011-08-10	Newbler v. 2.3	NA	NA	2017-03-28	DOE	No	NA	Yes	Yes	751944	59739	75121	2011-09-06	DL1	Primary	NA	3162560	3367	
2551306706	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park, US	Metallosphaera yellowstonensis r05 (OSP_D)	DOE Joint Genome Institute (JGI)	2551306706	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera yellowstonensis	Yes	0	25828	0	NA	Genome Analysis	Ga0021374	Genome Analysis	Gp0067856	Gs0016042	2013-12-13	Newbler v. 2.5	NA	released per Ryan Jennings	2017-03-28	NA	No	NA	No	Yes	1111107	0	0	2016-11-30	r05	Primary	NA	1303335	1561	
2671180169	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Halopelagius longus CGMCC 1.12397	DOE Joint Genome Institute (JGI)	2671180169	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halopelagius	Halopelagius longus	Yes	0	87388	1076345	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0079853	Genome Analysis	Gp0120003	Gs0110196	2016-05-26	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	Yes	NA	Yes	Yes	1236180	0	0	2016-06-12	CGMCC 1.12397	Primary	NA	3871751	3894	
2642422537	Archaea	Permanent Draft	Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia, USA	Methanococcoides vulcani SLH 33	DOE Joint Genome Institute (JGI)	2642422537	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	unclassified	Yes	0	74340	1066547	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0073304	Genome Analysis	Gp0114940	Gs0114675	2015-11-24	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	2225	0	0	2015-12-01	SLH 33	Primary	NA	2314846	2357	
2516653073	Archaea	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Halomicrobium katesii DSM 19301	DOE Joint Genome Institute (JGI)	2516653073	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium katesii	Yes	0	10409	404292	NA	Genome Analysis	Ga0026612	Genome Analysis	Gp0015851	Gs0000117	2012-08-26	Velvet v. 1.1.05, ALLPATHS v. R39750, Phrap v. 4.24	NA	NA	2017-03-28	DOE	Yes	NA	Yes	Yes	1069082	0	0	2012-08-26	DSM 19301	Primary	NA	3607771	3876	
2522125037	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park, US	Acidilobus-DT1-r01 (from MG_3)	DOE Joint Genome Institute (JGI)	2522125037	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	unclassified	Yes	0	12889	0	NA	Genome Analysis	Ga0012340	Genome Analysis	Gp0035617	Gs0016042	2013-02-22	NA	NA	released per Ryan Jennings	2017-03-28	NA	No	NA	No	Yes	105850	0	0	2016-11-30	NA	Primary	NA	1548506	1765	
640069317	Archaea	Finished	Diverse archaeal organisms	Methanocorpusculum labreanum Z	DOE Joint Genome Institute (JGI)	640069317	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum labreanum	NA	IMG/W 2.2	0	16137	NA	Genome Analysis	Ga0029363	Genome Analysis	Gp0000207	Gs0012158	2007-04-13	Newbler v. 2.3, Paracel Genome Assembler	NA	NA	2017-03-28	DOE	No	NA	Yes	Yes	410358	18109	58785	2007-06-01	Z	Primary	NA	1804962	1830	
2551306704	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park, US	Geoarchaeota NAG1 GT1 r03 (OSP_C)	DOE Joint Genome Institute (JGI)	2551306704	Candidatus Geoarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	Yes	0	25826	0	NA	Genome Analysis	Ga0021372	Genome Analysis	Gp0064175	Gs0016042	2013-12-13	Newbler v. 2.5	NA	released per Ryan Jennings	2017-03-28	NA	No	NA	No	Yes	1448933	0	0	2016-11-30	NAG1 GT1 r03	Primary	NA	1518019	1834	
646311959	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus L.D.8.5	DOE Joint Genome Institute (JGI)	646311959	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	NA	IMG/W 3.1	0	16896	NA	Genome Analysis	Ga0030981	Genome Analysis	Gp0002339	Gs0017186	2010-02-26	LANL pipeline, ORNL pipeline, MUMmer v. 3.0, OSLay, BLAST	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	425944	18803	43679	2010-04-01	L.D.8.5	Primary	NA	2748647	2996	
