Genome	FullLength	PartialLength
2228664006	1	0
2228664007	0	1
2501004205	2	0
2501025493	2	0
2501025505	1	0
2501779502	1	0
2501799900	0	1
2501799908	1	0
2501915963	0	2
2501939606	3	0
2502422321	1	0
2502545039	1	0
2502790015	3	0
2502790017	3	0
2502957028	2	0
2503198000	2	0
2503283001	0	0
2503283022	1	0
2503283023	3	0
2503508007	1	0
2503508009	3	0
2503538010	2	0
2503538017	2	0
2503538021	3	0
2503538027	4	0
2503538028	3	0
2503692001	1	0
2503707003	0	0
2503707007	2	0
2503707008	4	0
2503707009	3	0
2503754000	1	0
2503754015	2	0
2503754016	1	0
2503754017	2	0
2503754019	2	0
2503754044	10	1
2503754046	4	0
2503754048	2	0
2503904009	1	0
2503904012	3	0
2503904014	3	0
2503982034	1	0
2503982035	2	0
2503982036	4	0
2503982037	1	0
2503982039	3	0
2503982046	1	0
2503982047	4	0
2504136000	2	0
2504136002	1	0
2504136006	1	0
2504557005	1	0
2504557006	4	0
2504557012	4	0
2504643006	3	0
2504643012	2	0
2504643013	4	0
2504643019	1	0
2504643030	1	0
2504756004	2	0
2504756006	2	0
2504756018	2	0
2504756058	4	0
2504756059	3	0
2504756061	1	0
2504756063	1	0
2504756064	1	0
2504756065	15	0
2504756083	4	0
2505119042	2	0
2505119043	3	0
2505313015	5	0
2505679005	1	0
2505679006	3	0
2505679007	2	0
2505679008	2	0
2505679009	2	0
2505679016	2	0
2505679024	1	0
2505679029	2	1
2505679030	2	0
2505679031	1	0
2505679032	3	0
2505679039	1	0
2505679040	1	0
2505679041	1	5
2505679042	3	4
2505679043	0	6
2505679044	4	4
2505679046	5	1
2505679047	1	4
2505679049	1	0
2505679050	1	0
2505679051	0	0
2505679053	0	0
2505679055	1	0
2505679056	1	0
2505679057	0	0
2505679058	1	0
2505679059	0	1
2505679064	1	0
2505679065	1	0
2505679066	2	0
2505679068	3	0
2505679077	2	0
2505679078	1	0
2505679080	4	0
2505679082	4	0
2505679083	2	0
2505679089	2	0
2505679104	8	0
2505679107	0	0
2506210002	7	0
2506210003	8	0
2506210005	6	0
2506210028	1	0
2506210034	2	0
2506210035	2	0
2506381019	3	0
2506381022	2	0
2506381025	1	0
2506485001	2	0
2506485002	3	0
2506485007	3	0
2506520007	7	0
2506520008	7	0
2506520009	7	0
2506520011	2	0
2506520012	1	0
2506520013	2	0
2506520014	2	0
2506520015	5	0
2506520016	3	0
2506520020	4	0
2506520034	3	0
2506520036	7	0
2506520037	7	0
2506520038	7	0
2506520039	2	0
2506520040	3	0
2506520041	2	0
2506520042	1	0
2506520043	1	0
2506520044	4	0
2506520045	2	0
2506520046	4	0
2506520047	12	0
2506520048	2	0
2506520049	2	0
2506520050	1	0
2506783006	2	0
2506783009	2	0
2506783010	1	0
2506783011	2	0
2506783014	2	0
2506783038	17	6
2506783044	7	0
2506783045	1	0
2506783046	9	0
2506783047	1	0
2506783048	2	0
2506783052	2	0
2506783053	2	0
2506783054	2	0
2506783059	2	0
2506783060	2	0
2506783061	9	0
2506783062	5	0
2506783063	2	0
2506783064	2	0
2506783068	2	0
2507149014	1	1
2507149015	4	0
2507149019	6	0
2507149024	8	0
2507262015	3	0
2507262016	1	0
2507262026	6	0
2507262027	2	0
2507262031	6	0
2507262035	10	0
2507262043	1	0
2507262044	2	0
2507262048	7	0
2507262051	6	0
2507262052	2	0
2507262054	2	0
2507262055	1	0
2507262057	9	0
2507525000	1	0
2507525018	2	2
2508501001	9	0
2508501002	8	0
2508501004	9	0
2508501009	1	0
2508501010	2	0
2508501011	2	0
2508501012	3	0
2508501013	3	0
2508501021	1	0
2508501023	4	0
2508501026	8	0
2508501027	1	0
2508501028	1	0
2508501029	8	0
2508501030	1	0
2508501031	4	0
2508501033	3	1
2508501034	1	0
2508501036	11	0
2508501037	1	0
2508501038	2	0
2508501039	3	0
2508501040	6	0
2508501041	2	0
2508501042	1	0
2508501043	4	0
2508501044	3	0
2508501045	2	0
2508501046	2	0
2508501047	2	0
2508501048	1	0
2508501049	1	0
2508501050	1	0
2508501051	3	0
2508501052	2	0
2508501066	2	0
2508501067	1	0
2508501068	3	0
2508501069	5	0
2508501070	4	0
2508501071	7	0
2508501075	1	0
2508501098	2	0
2508501100	1	0
2508501103	3	0
2508501105	1	0
2508501106	2	0
2508501107	2	0
2508501108	2	0
2508501109	1	0
2508501110	2	0
2508501111	5	0
2508501112	3	0
2508501113	1	0
2508501114	1	0
2508501115	1	0
2508501118	3	0
2508501119	2	0
2508501120	3	0
2508501122	1	0
2508501123	2	0
2508501124	1	0
2508501125	1	1
2508501126	2	0
2508501127	2	0
2508501128	1	0
2508501136	8	0
2509276007	7	0
2509276010	3	0
2509276011	2	0
2509276012	5	0
2509276013	4	0
2509276014	2	0
2509276015	1	0
2509276016	2	0
2509276017	2	0
2509276018	2	0
2509276019	1	0
2509276020	4	0
2509276021	2	1
2509276022	2	0
2509276023	5	0
2509276025	4	0
2509276026	3	0
2509276028	3	0
2509276029	5	0
2509276030	1	0
2509276031	4	0
2509276033	3	0
2509276035	4	0
2509276036	1	0
2509276044	2	0
2509276045	2	0
2509276047	6	2
2509276048	7	0
2509276051	8	0
2509276052	2	0
2509276054	3	0
2509276055	1	0
2509276056	3	0
2509276057	3	0
2509276058	4	0
2509276059	3	0
2509276060	9	0
2509276061	3	0
2509276062	4	0
2509276063	2	0
2509276064	6	0
