Name	GenomeName	Genome
2230705792	Rhi57DRAFT_00063770	2228664006
2501414483	PferDRAFT_R0048	2501025505
2501790701	MicroAuranti_DRAFT_38560	2501779502
2501837328	AD_draft_3_23480	2501799908
2502502716	HrosDRAFT_R0041	2502422321
2502685867	PonacDRAFT_R0045	2502545039
2503364240	HTCC9565_00002440	2503283022
2503526667	Theth_R0043	2503508007
2503696424	Dole_R0011	2503692001
2503755173	HIMB140_00011740	2503754000
2503789921	DesafDRAFT_R0036	2503754016
2503948426	AciX9_R0047	2503904009
2504084068	Pnec_R0002	2503982034
2504099269	AciX8_R0005	2503982037
2504127887	Pepas_R0022	2503982046
2504145513	Arcve_R0018	2504136002
2504156402	Desac_R0048	2504136006
2504582855	Pse7429DRAFT_R0029	2504557005
2504707187	AciPR4_R0040	2504643019
2504742134	GAL35DRAFT_00003050	2504643030
2504969139	OchJ2_00010040	2504756061
2504979044	IsoJ5_00022610	2504756063
2504983927	ParJ4_00040900	2504756064
2505688479	Pyrfu_R0005	2505679005
2505768419	FJSC11DRAFT_R0032	2505679024
2505796663	Rrad_R0023	2505679031
2505835368	AmiJ15_0095.00000010	2505679039
2505839186	AmiJ44_0078.00000010	2505679040
2505875888	CelJ34_0069.00000010	2505679049
2505880273	CupJ11_0067.00000020	2505679050
2505895934	LutJ16_0033.00000340	2505679055
2505900997	MesJ18_0007.00001610	2505679056
2505906758	NocJ9_0044.00000350	2505679058
2505930773	PseJ19_0129.00000010	2505679064
2505939058	RhoJ38_0009.00001790	2505679065
2505980268	Rhom172_R0006	2505679078
2506350421	MicvaDRAFT_R0025	2506210028
2506474584	Metlim_R0022	2506381025
2506601970	TOPB45_R0012	2506520012
2506723703	Rhoma_1508	2506520042
2506725681	Thith_0522	2506520043
2506757418	Myrod_R0068	2506520050
2506860951	Lepil_R0007	2506783010
2507047819	Hypde_03760	2506783045
2507054340	HalDL1_0198	2506783047
2507332731	Tol9009DRAFT_00027140	2507262016
2507461044	Metta_0489	2507262043
2507504415	Bra1417DRAFT_0104	2507262055
2507526868	ProkrDRAFT_00018770	2507525000
2508545847	Bra471DRAFT_06928	2508501009
2508594038	BurJ1DRAFT_0470	2508501021
2508620771	BorpeDRAFT_00039950	2508501027
2508624596	CelceDRAFT_00038240	2508501028
2508634843	ParpaDRAFT_00046260	2508501030
2508653320	Xen7305DRAFT_00054220	2508501034
2508666113	AmiJ41DRAFT_00040970	2508501037
2508694674	Bra1253DRAFT_04206	2508501042
2508720846	Thi970DRAFT_4208	2508501048
2508724569	MetMK1DRAFT_00029210	2508501049
2508725373	MicLut6DRAFT_00003150	2508501050
2508837914	OpiT1DRAFT_3322	2508501067
