Name	GenomeName	Genome
2230705792	Rhi57DRAFT_00063770	2228664006
2501022241	Dshi_6006	2501004205
2501022481	Dshi_6013	2501004205
2501034820	Msil_R0033	2501025493
2501035314	Msil_R0043	2501025493
2501414483	PferDRAFT_R0048	2501025505
2501790701	MicroAuranti_DRAFT_38560	2501779502
2501837328	AD_draft_3_23480	2501799908
2501962258	Za10_R0038	2501939606
2501962294	Za10_R0044	2501939606
2501962627	Za10_R0053	2501939606
2502502716	HrosDRAFT_R0041	2502422321
2502685867	PonacDRAFT_R0045	2502545039
2502855360	Apau_R0001	2502790015
2502856069	Apau_R0020	2502790015
2502856749	Apau_R0055	2502790015
2502869995	Mzhil_R0001	2502790017
2502870202	Mzhil_R0011	2502790017
2502871134	Mzhil_R0043	2502790017
2503009358	Dalk_R0043	2502957028
2503009363	Dalk_R0048	2502957028
2503199683	Mesop_R0015	2503198000
2503199691	Mesop_R0021	2503198000
2503364240	HTCC9565_00002440	2503283022
2503366460	Cyast_R0023	2503283023
2503366716	Cyast_R0034	2503283023
2503368306	Cyast_R0052	2503283023
2503526667	Theth_R0043	2503508007
2503532715	Mahau_R0006	2503508009
2503533027	Mahau_R0016	2503508009
2503533953	Mahau_R0043	2503508009
2503574972	Corgl_R0050	2503538010
2503575400	Corgl_R0041	2503538010
2503594978	Theto_R0013	2503538017
2503597821	Theto_R0064	2503538017
2503615230	Chro_R0044	2503538021
2503615789	Chro_R0054	2503538021
2503615897	Chro_R0059	2503538021
2503632444	TheetDRAFT_R0045	2503538027
2503632675	TheetDRAFT_R0011	2503538027
2503633083	TheetDRAFT_R0022	2503538027
2503634532	TheetDRAFT_R0066	2503538027
2503634863	PCC7418_R0006	2503538028
2503635565	PCC7418_R0017	2503538028
2503637863	PCC7418_R0046	2503538028
2503696424	Dole_R0011	2503692001
2503736905	Fluta_R0033	2503707007
2503737016	Fluta_R0038	2503707007
2503738781	Nos7107_R0002	2503707008
2503739089	Nos7107_R0013	2503707008
2503740546	Nos7107_R0025	2503707008
2503740880	Nos7107_R0033	2503707008
2503744442	Cyan10605_R0010	2503707009
2503745245	Cyan10605_R0030	2503707009
2503746339	Cyan10605_R0039	2503707009
2503755173	HIMB140_00011740	2503754000
2503785031	DND132_R0005	2503754015
2503787603	DND132_R0050	2503754015
2503789921	DesafDRAFT_R0036	2503754016
2503796883	Glo7428_R0042	2503754017
2503796940	Glo7428_R0050	2503754017
2503798462	Sta7437_R0009	2503754019
2503800352	Sta7437_R0032	2503754019
2503861269	TCel_TB100_00002330	2503754044
2503861288	TCel_TB100_00002520	2503754044
2503862018	TCel_TB100_00009840	2503754044
2503863221	TCel_TB100_00021920	2503754044
2503863898	TCel_TB100_00028690	2503754044
2503864528	TCel_TB100_00035000	2503754044
2503864895	TCel_TB100_00038670	2503754044
2503865309	TCel_TB100_00042810	2503754044
2503865324	TCel_TB100_00042960	2503754044
2503865842	TCel_TB100_00048140	2503754044
2503874363	Premu_R0017	2503754046
2503874938	Premu_R0027	2503754046
2503875969	Premu_R0053	2503754046
2503876241	Premu_R0061	2503754046
2503887089	Lepto7376_R0012	2503754048
2503890070	Lepto7376_R0051	2503754048
2503948426	AciX9_R0047	2503904009
2503956488	Spico_R0002	2503904012
2503956950	Spico_R0025	2503904012
2503957043	Spico_R0031	2503904012
2503963569	Schlor_00025480	2503904014
2503964461	Schlor_00034400	2503904014
2503964998	Schlor_00039770	2503904014
2504084068	Pnec_R0002	2503982034
2504087011	Osc7112_R0028	2503982035
2504090174	Osc7112_R0056	2503982035
2504094582	Cal6303_R0013	2503982036
2504097184	Cal6303_R0035	2503982036
2504097271	Cal6303_R0038	2503982036
2504097391	Cal6303_R0041	2503982036
2504099269	AciX8_R0005	2503982037
2504106408	Bcop_R0028	2503982039
2504106565	Bcop_R0036	2503982039
2504108047	Bcop_R0077	2503982039
2504127887	Pepas_R0022	2503982046
2504130747	Anacy_R0013	2503982047
2504131113	Anacy_R0015	2503982047
2504133202	Anacy_R0054	2503982047
2504135017	Anacy_R0070	2503982047
2504136265	Hipma_R0007	2504136000
2504137449	Hipma_R0055	2504136000
2504145513	Arcve_R0018	2504136002
2504156402	Desac_R0048	2504136006
2504582855	Pse7429DRAFT_R0029	2504557005
2504585663	Selsp_R0006	2504557006
2504586295	Selsp_R0020	2504557006
2504586406	Selsp_R0025	2504557006
2504587476	Selsp_R0063	2504557006
2504607334	Tresu_R0006	2504557012
2504607829	Tresu_R0013	2504557012
2504607988	Tresu_R0021	2504557012
2504609321	Tresu_R0055	2504557012
2504659891	Marky_R0012	2504643006
2504660950	Marky_R0037	2504643006
2504661747	Marky_R0059	2504643006
2504679805	Pse7367_R0017	2504643012
2504680411	Pse7367_R0026	2504643012
2504685343	Cri9333_R0032	2504643013
2504686391	Cri9333_R0044	2504643013
2504687095	Cri9333_R0055	2504643013
2504687170	Cri9333_R0058	2504643013
2504707187	AciPR4_R0040	2504643019
2504742134	GAL35DRAFT_00003050	2504643030
2504771350	Halhy_R0017	2504756004
2504772400	Halhy_R0026	2504756004
2504783692	Thena_R0009	2504756006
2504784461	Thena_R0040	2504756006
2504824497	Poras_R0016	2504756018
2504824971	Poras_R0036	2504756018
2504956475	Thewi_00002230	2504756058
2504957072	Thewi_00008250	2504756058
2504957101	Thewi_00008540	2504756058
2504958557	Thewi_00023240	2504756058
2504962372	Metme_00032310	2504756059
2504962527	Metme_00033860	2504756059
2504962810	Metme_00036690	2504756059
2504969139	OchJ2_00010040	2504756061
2504979044	IsoJ5_00022610	2504756063
2504983927	ParJ4_00040900	2504756064
2504984070	PseW53_00001280	2504756065
2504984748	PseW53_00008060	2504756065
2504985307	PseW53_00013650	2504756065
2504985414	PseW53_00014720	2504756065
2504985429	PseW53_00014870	2504756065
2504985536	PseW53_00015940	2504756065
2504985978	PseW53_00020360	2504756065
2504986140	PseW53_00021980	2504756065
2504989264	PseW53_00053300	2504756065
2504990015	PseW53_00060850	2504756065
2504990877	PseW53_00069470	2504756065
2504990934	PseW53_00070040	2504756065
2504991065	PseW53_00071350	2504756065
2504991087	PseW53_00071570	2504756065
2504991196	PseW53_00072660	2504756065
2505078875	Halsa_R0001	2504756083
2505080540	Halsa_R0044	2504756083
2505080874	Halsa_R0055	2504756083
2505080926	Halsa_R0071	2504756083
2505283800	Thein_R0013	2505119042
2505284129	Thein_R0021	2505119042
2505286019	Tlie_R0001	2505119043
2505286409	Tlie_R0021	2505119043
2505286477	Tlie_R0024	2505119043
2505382414	Lbuc_R0004	2505313015
2505382553	Lbuc_R0029	2505313015
2505383367	Lbuc_R0064	2505313015
2505383437	Lbuc_R0068	2505313015
2505384002	Lbuc_R0081	2505313015
2505688479	Pyrfu_R0005	2505679005
2505690872	Spica_R0012	2505679006
2505690876	Spica_R0016	2505679006
2505692277	Spica_R0054	2505679006
2505694120	Murru_R0013	2505679007
2505695635	Murru_R0036	2505679007
2505698892	Flexsi_R0043	2505679008
2505699012	Flexsi_R0048	2505679008
2505699539	Thicy_R0007	2505679009
2505699891	Thicy_R0019	2505679009
2505736661	Celgi_R0034	2505679016
2505737164	Celgi_R0044	2505679016
2505768419	FJSC11DRAFT_R0032	2505679024
2505784000	Chr6712_R0005	2505679029
2505788199	Chr6712_R0054	2505679029
2505789436	Runsl_R0006	2505679030
2505790964	Runsl_R0019	2505679030
2505796663	Rrad_R0023	2505679031
2505800025	Cal7507_R0015	2505679032
2505803221	Cal7507_R0065	2505679032
2505804336	Cal7507_R0082	2505679032
2505835368	AmiJ15_0095.00000010	2505679039
2505839186	AmiJ44_0078.00000010	2505679040
2505840754	BacJ22_0013.00000600	2505679041
2505843750	BacJ23_0001.00010610	2505679042
2505844898	BacJ23_0010.00000760	2505679042
2505847008	BacJ23_0004.00002770	2505679042
2505853398	BacJ25_0016.00000020	2505679044
2505854498	BacJ25_0003.00008660	2505679044
2505855627	BacJ25_0004.00002600	2505679044
2505856023	BacJ25_0006.00001970	2505679044
2505861090	BacJ26_0012.00000760	2505679046
2505861196	BacJ26_0014.00000420	2505679046
2505861229	BacJ26_0017.00000170	2505679046
2505861266	BacJ26_0002.00008720	2505679046
2505863126	BacJ26_0004.00002940	2505679046
2505865337	BacJ27_0013.00001180	2505679047
